Abp Reg,Archbishops' Rolls and Registers (including sede vacante registers),Collection
Abp Reg 1A,Walter de Gray (1215-1255) Major roll 1225-1235
Abp Reg 1B,Walter de Gray (1215-1255) Minor roll 1235-1255
Abp Reg 2,Walter Giffard (1266-1270)
Abp Reg 3,Wiliam Wickwane (1279-1285)
Abp Reg 4,John Le Romeyn (1286-1296)
Abp Reg 5,Henry Neward (1298-1296)
Abp Reg 5A,Sede Vacante Registers # see further info in doc
Abp Reg 6,Thomas Corbridge (1300-1304)
Abp Reg 7,William Greenfield (1306-1315) Part I 1306-1311
Abp Reg 8,William Greenfield (1306-1315) Part II 1311-1315
Abp Reg 8A,William Greenfield (1306-1315)
Abp Reg 9A,William Melton (1317-1340)
Abp Reg 9B,William Melton (1317-1340)
Abp Reg 10,William La Zouche (1342-1352)
Abp Reg 10A,William La Zouche (1342-1352) Ordination register
Abp Reg 11,John Thoresby (1352-1373)
Abp Reg 12,Alexander Neville (1374-1388)
Abp Reg 13,[Alexander Neville] (1374-1388)
Abp Reg 14,Thomas Arundel (1388-1396)
Abp Reg 15,Robert Waldby (1397)
Abp Reg 16,Richard Le Scrope (1398-1405)
Abp Reg 17,Henry Bowet (1407-1423) Part II [register extra diocesim]
Abp Reg 18,Henry Bowet (1407-1423) Part I
Abp Reg 19,John Kempe (1425-1452)
Abp Reg 20,William Booth (1452-1464)
Abp Reg 21,George Neville (1465-1476) Part I [register extra diocesim]
Abp Reg 22,George Neville (1465-1476) Part II
Abp Reg 23,Thomas Rotherham (1480-1500)
Abp Reg 24,Thomas Rotherham (1480-1500)
Abp Reg 25,Thomas Savage (1501-1507)
Abp Reg 26,"Christopher Bainbridge (1508-1514), Sede Vacante Register 1514"
Abp Reg 27,Thomas Wolsey (1514-1530)
Abp Reg 28,Edward Lee (1531-1544)
Abp Reg 29,"Robert Holgate (1545-1554), Nicholas Heath (1555-1559)"
Abp Reg 30,"Thomas Young (1561-1568), Sede Vacante Register (1568-1570), Edmund Grindal (1570-1576)"
Abp Reg 31,"Sede Vacante Register (1576), Edwin Sandys (1577-1588), John Piers (1589-1594), Matthew Hutton (1595-1606), Tobias Matthew (1606-1628)"
Abp Reg 32,"Richard Neile (1632-1640), John Williams (1641-1650)"
Abp Inst.AB,Institution Act Books,Collection
Abp Inst.AB 1,"Institution Act Book (1545-1554, 1556-1568)"
Abp Inst.AB 2,"Institution Act Book (1554-1558, 1561-1566, 1568-1572)"
Abp Inst.AB 3,Institution Act Book (1572-1619)
Abp Inst.AB 4,Institution Act Book (1607-1628)
Abp Inst.AB 5,"Institution Act Book (1619-1630, 1632)"
Abp Inst.AB 6,"Institution Act Book (1632-1640, 1642-1644, 1660-1668)"