Accidents and disasters,Collapses,,"Accidents, types, A-Z; Disasters, types, A-Z; Collapses, use for buildings",,,,,,,,,,
Accidents and disasters,Falls,,Use for people,,,,,,,,,,
Accidents and disasters,Fires,,,,,,,,,,,,
Accidents and disasters,Floods,,,,,,,,,,,,
Accidents and disasters,Shipwrecks,,,,,,,,,,,,
Acts of Parliament and Statutes,Acts of Parliament,,,,,,,,,,,,
Acts of Parliament and Statutes,Statute of Provisors (1350-1),Statutes,,,,,,,,,,,
Acts of Parliament and Statutes,Statutes,Statutes of Praemunire; Statute of Provisors (1350-1),"Statutes, named, A-Z; add details in standard form",,,,,,,,,,
Acts of Parliament and Statutes,Statutes of Praemunire,Praemunire; Statutes,,,,,,,,,,,
"Administrative Units, Civil",Boroughs,,"See Organisations and Associations, Lay and Ecclesiastical, for communities of. See also Occupations, offices and status for more specific types of inhabitants, officers, etc",,,,,,,,,,
"Administrative Units, Civil",Cities,,,,,,,,,,,,
"Administrative Units, Civil",Towns,,,,,,,,,,,,
"Administrative Units, Ecclesiastical",Archdeaconries,,"Administrative Units, Ecclesiastical, A-Z",,,,,,,,,,
"Administrative Units, Ecclesiastical",Archdioceses,,,,,,,,,,,,
"Administrative Units, Ecclesiastical",Chapelries,,"See also Churches, chapels and chantries",,,,,,,,,,
"Administrative Units, Ecclesiastical",Deaneries,Rural deaneries,,,,,,,,,,,
"Administrative Units, Ecclesiastical",Dioceses,,,,,,,,,,,,
"Administrative Units, Ecclesiastical",Ecclesiastical Peculiars,Peculiars,"For eg: over which Dean and Chapter of York/Precentor of York/a rector or vicar, etc., had probate jurisdiction",,,,,,,,,,
"Administrative Units, Ecclesiastical",Extra Parochial places,Non parochial places,,,,,,,,,,,
"Administrative Units, Ecclesiastical",Lay Peculiars,Peculiars,Including Manorial Peculiars,,,,,,,,,,
"Administrative Units, Ecclesiastical",Parishes,,"See also Churches, chapels and chantries; Buildings and structures",,,,,,,,,,
"Administrative Units, Ecclesiastical",Peculiars,Ecclesiastical Peculiars; Lay Peculiars; Royal Peculiars,General,,,,,,,,,,
"Administrative Units, Ecclesiastical",Provinces,,,,,,,,,,,,
"Administrative Units, Ecclesiastical",Rectories,,"See also Benefices, portions",,,,,,,,,,
"Administrative Units, Ecclesiastical",Royal Peculiars,Peculiars,,,,,,,,,,,
"Administrative Units, Ecclesiastical",Vicarages,,,,,,,,,,,,
"Advowsons, patrons and patronage",Advowsons,,See also Benefice and Office holding,,,,,,,,,,
"Advowsons, patrons and patronage",Crown Patrons,Patrons,,,,,,,,,,,
"Advowsons, patrons and patronage",Ecclesiastical Patrons ,Patrons,,,,,,,,,,,
"Advowsons, patrons and patronage",Lay Patrons,Patrons,,,,,,,,,,,
"Advowsons, patrons and patronage",Patronage,,"See also Benefices, Presentations",,,,,,,,,,
"Advowsons, patrons and patronage",Patrons,Crown Patrons; Ecclesiastical Patrons; Lay Patrons; Religious Patrons,"See also Benefices, Presentations",,,,,,,,,,
"Advowsons, patrons and patronage",Religious Patrons,Patrons,,,,,,,,,,,
Age,Age of majority,,"See also Diseases, Health and Medicine; Women, girls and children",,,,,,,,,,
Age,Canonical age,,,,,,,,,,,,
Age,Marriageable age,,,,,,,,,,,,
Age,Old age,,,,,,,,,,,,
Agriculture and Land Use,Assarts,,"Agricultural equipment, by type, A-Z; Agricutural processes, by type, A-Z; Land used for agriculture, by type, A-Z; Crops, named, A-Z; see also Animals, fish and birds, incl game and livestock; Farming, Fishery and food production; Tithes",,,,,,,,,,
Agriculture and Land Use,Barley,,,,,,,,,,,,
Agriculture and Land Use,Beans,,,,,,,,,,,,
Agriculture and Land Use,Carts,,,,,,,,,,,,
Agriculture and Land Use,Closes,,,,,,,,,,,,
Agriculture and Land Use,Commons,,,,,,,,,,,,
Agriculture and Land Use,Corn,,,,,,,,,,,,
Agriculture and Land Use,Crops,,,,,,,,,,,,
Agriculture and Land Use,Drage,,,,,,,,,,,,
Agriculture and Land Use,Fields,,,,,,,,,,,,
Agriculture and Land Use,Flax,,,,,,,,,,,,
Agriculture and Land Use,Fleeces,,,,,,,,,,,,
Agriculture and Land Use,Gardens,,,,,,,,,,,,
Agriculture and Land Use,Garths,,,,,,,,,,,,
Agriculture and Land Use,Grass,,,,,,,,,,,,
Agriculture and Land Use,Harness,,,,,,,,,,,,
Agriculture and Land Use,Hay,,,,,,,,,,,,
Agriculture and Land Use,Hemp,,,,,,,,,,,,
Agriculture and Land Use,Hops,,,,,,,,,,,,
Agriculture and Land Use,Intakes,,,,,,,,,,,,
Agriculture and Land Use,Lands,,,,,,,,,,,,
Agriculture and Land Use,Meadows,,,,,,,,,,,,
Agriculture and Land Use,Moors,,,,,,,,,,,,
Agriculture and Land Use,Oats,,,,,,,,,,,,
Agriculture and Land Use,Peas,,,,,,,,,,,,
Agriculture and Land Use,Ploughs,,,,,,,,,,,,
Agriculture and Land Use,Roses,,,,,,,,,,,,
Agriculture and Land Use,Seed,,,,,,,,,,,,
Agriculture and Land Use,Sheaves,,,,,,,,,,,,
Agriculture and Land Use,Thraves,,,,,,,,,,,,
Agriculture and Land Use,Wagons,,,,,,,,,,,,
Agriculture and Land Use,Wheat,,,,,,,,,,,,
Agriculture and Land Use,Wood,,,,,,,,,,,,
Aliens,Aliens,,"Use for Aliens (foreigners generally);  see also Religious houses, Alien Priories",,,,,,,,,,
Alms,Alms,,"Alms, for specific purposes, A-Z; for specific Saints, A-Z; for Almshouses, see Organisations and Associations, Lay and Ecclesiastical",,,,,,,,,,
"Animals, fish and birds, incl game and livestock",Avers,,"Animals, fish and birds, incl game and livestock, by type, A-Z; see also Dues and offerings, Ecclesiastical, Tithes",,,,,,,,,,
"Animals, fish and birds, incl game and livestock",Calves,,,,,,,,,,,,
"Animals, fish and birds, incl game and livestock",Chickens,,,,,,,,,,,,
"Animals, fish and birds, incl game and livestock",Deer,,,,,,,,,,,,
"Animals, fish and birds, incl game and livestock",Dogs,,,,,,,,,,,,
"Animals, fish and birds, incl game and livestock",Doves,,,,,,,,,,,,
"Animals, fish and birds, incl game and livestock",Ducklings,,,,,,,,,,,,
"Animals, fish and birds, incl game and livestock",Ducks,,,,,,,,,,,,
"Animals, fish and birds, incl game and livestock",Fish,,,,,,,,,,,,
"Animals, fish and birds, incl game and livestock",Flocks,,,,,,,,,,,,
"Animals, fish and birds, incl game and livestock",Foals,,,,,,,,,,,,
"Animals, fish and birds, incl game and livestock",Game,,,,,,,,,,,,
"Animals, fish and birds, incl game and livestock",Geese,,,,,,,,,,,,
"Animals, fish and birds, incl game and livestock",Goslings,,,,,,,,,,,,
"Animals, fish and birds, incl game and livestock",Hens,,,,,,,,,,,,
"Animals, fish and birds, incl game and livestock",Horses,,,,,,,,,,,,
"Animals, fish and birds, incl game and livestock",Lambs,,,,,,,,,,,,
"Animals, fish and birds, incl game and livestock",Livestock,,,,,,,,,,,,
"Animals, fish and birds, incl game and livestock",Oxen,,,,,,,,,,,,
"Animals, fish and birds, incl game and livestock",Peacocks,,,,,,,,,,,,
"Animals, fish and birds, incl game and livestock",Peahens,,,,,,,,,,,,
"Animals, fish and birds, incl game and livestock",Pigeons,,,,,,,,,,,,
"Animals, fish and birds, incl game and livestock",Piglets,,,,,,,,,,,,
"Animals, fish and birds, incl game and livestock",Pigs,,,,,,,,,,,,
"Animals, fish and birds, incl game and livestock",Poultry,,,,,,,,,,,,
"Animals, fish and birds, incl game and livestock",Sheep,,,,,,,,,,,,
"Animals, fish and birds, incl game and livestock",Swans,,,,,,,,,,,,
"Animals, fish and birds, incl game and livestock",Turkeys,,,,,,,,,,,,
Archbishop's Administration,Chancery,,Use for departments of Archbishop's administration,,,,,,,,,,
Archbishop's Administration,Household,Familia,,,,,,,,,,,
Archbishop's Administration,Registry,,,,,,,,,,,,
Archbishop's Administration,Vacancy,Sede Vacante,See also Benefice and office holding,,,,,,,,,,
Archives and manuscripts,Act Books,,,,,,,,,,,,
Archives and manuscripts,Archbishops' Registers,Registers,,,,,,,,,,,
Archives and manuscripts,Baptismal Registers,Registers,,,,,,,,,,,
Archives and manuscripts,Bishops' Registers,Registers,,,,,,,,,,,
Archives and manuscripts,Bonds,,,,,,,,,,,,
Archives and manuscripts,Burial Registers,Registers,,,,,,,,,,,
Archives and manuscripts,Charters,Deeds,,,,,,,,,,,
Archives and manuscripts,Confirmations,Deeds,Confirmation = type of deed,,,,,,,,,,
Archives and manuscripts,Court Rolls,,,,,,,,,,,,
Archives and manuscripts,Deeds,Charters; Confirmations; Demises; Enfeoffments; Final concords; Quitclaims; Releases,Deeds of property,,,,,,,,,,
Archives and manuscripts,Demises,Deeds,,,,,,,,,,,
Archives and manuscripts,Enfeoffments,Deeds,,,,,,,,,,,
Archives and manuscripts,Final concords,Deeds,,,,,,,,,,,
Archives and manuscripts,Formularies,,,,,,,,,,,,
Archives and manuscripts,Glebe terriers,,,,,,,,Visitations,corrections following,commissions to make,,"Melton, 5"
Archives and manuscripts,Institution Act Books,,,,,,,,,,,,
Archives and manuscripts,Institution Registers,Registers,,,,,,,,,,,
Archives and manuscripts,Letters dimissory,,Letters dimissory for all orders; Holy orders; Minor orders; combinations such as Holy and/or minor orders,,,,,,,,,,
Archives and manuscripts,Letters of Caption,,"See also Sins, correction and forgiveness",,,,,,,,,,
Archives and manuscripts,Letters of Proxy,,,,,,,,,,,,
Archives and manuscripts,Letters of quest,,See also Alms,,,,,,,,,,
Archives and manuscripts,Letters patent,,,,,,,,,,,,
Archives and manuscripts,Letters testimonial,,,,,,,,,,,,
Archives and manuscripts,Marriage Registers,Registers,,,,,,,,,,,
Archives and manuscripts,Muniments,,,,,,,,,,,,
Archives and manuscripts,Notarial Instruments,,,,,,,,,,,,
Archives and manuscripts,Notarial Marks,,,,,,,,,,,,
Archives and manuscripts,Notarial Subscriptions,,,,,,,,,,,,
Archives and manuscripts,Ordination Registers,Registers,,,,,,,,,,,
Archives and manuscripts,Parish Registers,Registers,,,,,,,,,,,
Archives and manuscripts,Presentation deeds,,,,,,,,,,,,
Archives and manuscripts,Quitclaims,Deeds,,,,,,,,,,,
Archives and manuscripts,Recognizances,,"See also Finance, Money, Accounts and Accounting",,,,,,,,,,
Archives and manuscripts,Records,,"For example, search of records",,,,,,,,,,
Archives and manuscripts,Registers,Archbishops' Registers; Baptismal Registers; Bishops' Registers; Burial Registers; Marriage Registers; Parish Registers; Institution Registers; Ordination Registers; Vacancy Registers; Vicars General Registers,General,,,,,,,,,,
Archives and manuscripts,Releases,Deeds,,,,,,,,,,,
Archives and manuscripts,Rentals,,,,,,,,,,,,
Archives and manuscripts,Rolls,,,,,,,,,,,,
Archives and manuscripts,Royal writs,Writs,,,,,,,Visitations,of city of York,obstructed,,"Melton, 5"
Archives and manuscripts,Seal Matrices,,,,,,,,,,,,
Archives and manuscripts,Sealing wax,,,,,,,,,,,,
Archives and manuscripts,Seals,,"Seals, types, A-Z; Seals, of institutions, A-Z; Seals, of named individuals or groups, A-Z; Seals, of offices, A-Z; note unusual use, if specified, eg if seal used is that of another person/organisation",,,,,,,,,,
Archives and manuscripts,Vacancy Registers,Sede Vacante Registers; Registers,,,,,,,,,,,
Archives and manuscripts,Valor Ecclesiasticus,Valuations,"See also Taxation, valuations",,,,,,Visitations,noted,,,"Melton, 5"
Archives and manuscripts,Valuations,Valor Ecclesiasticus,,,,,,,Visitations,of archdeacon of York,circumscribed,,"Melton, 5"
Archives and manuscripts,Vicars General Registers,Registers,,,,,,,,,,,
Archives and manuscripts,Writs,Royal writs,General,,,,,,,,,,
Benefice and office holding,Absence,,"Absence by type, A-Z, eg journey overseas; orders; orders 'cum ex eo'; pilgrimage; recreation; travel to Rome; service; study; study, 'cum ex eo'; tolerated; study tolerated; Absence for a period, eg during pleasure; fixed term; See also Dispensations; Non residence; Study",,,,,,Visitations,procurations for,,,"Melton, 5"
Benefice and office holding,Admissions,,"Admission by type of office, A-Z = will appear as Descriptor or person role?",,,,,,,,,,
Benefice and office holding,Appointments,,,,,,,,,,,,
Benefice and office holding,Approbations,,,,,,,,,,,,
Benefice and office holding,Benedictions,,,,,,,,,,,,
Benefice and office holding,Collations,,"Add type of office, A-Z = Descriptor or Person role; add Conferral, by type of object, eg biretta, if necessary",,,,,,,,,,
Benefice and office holding,Commendations,In commendam,,,,,,,,,,,
Benefice and office holding,Conferrals,,By biretta (see also Vestments; Clothes and clothing); cap (see also Clothes and clothing); by glove/s or ring (see also Jewellery and personal effects),,,,,,,,,,
Benefice and office holding,Confirmations,,Confirmations of office,,,,,,,,,,
Benefice and office holding,Conge d'elire,,,,,,,,,,,,
Benefice and office holding,Consecrations,,Consecrations of Archbishop,,,,,,,,,,
Benefice and office holding,Depositions,,,,,,,,,,,,
Benefice and office holding,Deprivations,Amovals,,,,,,,,,,,
Benefice and office holding,Devolutions,,,,,,,,,,,,
Benefice and office holding,Ejections,,,,,,,,,,,,
Benefice and office holding,Elections,,,,,,,,,,,,
Benefice and office holding,Enthronements,,,,,,,,,,,,
Benefice and office holding,Exchanges,Permutations,"Types found include: approved; agreed to; in another diocese, in the archdiocese",,,,,,,,,,
Benefice and office holding,Expectations,Expectancies; Expectative graces,,,,,,,,,,,
Benefice and office holding,Expulsions,,,,,,,,,,,,
Benefice and office holding,Inceptions,,,,,,,,,,,,
Benefice and office holding,Inductions,,no need to add 'mandate' to entry; can also be found in form 'quod est vestrum',,,,,,,,,,
Benefice and office holding,Installations,,,,,,,,,,,,
Benefice and office holding,Institutions,,,,,,,,,,,,
Benefice and office holding,Investitures,,By biretta (see also Vestments; Clothes and clothing); cap (see also Clothes and clothing); by glove/s or ring (see also Jewellery and personal effects),,,,,,,,,,
Benefice and office holding,Nominations,,,,,,,,,,,,
Benefice and office holding,Non residence,,"Types found include for a period, eg during pleasure; fixed term; for a reason, eg legitimate without licence; orders; orders, 'cum ex eo'; requested or promoted; service; unlicensed",,,,,,,,,,
Benefice and office holding,Notifications,,"Add type of office, A-Z",,,,,,,,,,
Benefice and office holding,Oaths,Oaths of allegiance; Oaths of obedience; Oaths of office,,,,,,,,,,,
Benefice and office holding,Oaths of allegiance,Oaths,,,,,,,,,,,
Benefice and office holding,Oaths of obedience,Oaths,"use for oaths of obedience, eg to archbishop; oaths of obedience of houses to head, eg to prior",,,,,,,,,,
Benefice and office holding,Oaths of office,Oaths,,,,,,,,,,,
Benefice and office holding,Ordinations,,,,,,,,,,,,
Benefice and office holding,Pluralism,Plurality,For instance: alleged; papal decree against; royal mandate in favour of,,,,,,,,,,
Benefice and office holding,Postulations,,,,,,,,,,,,
Benefice and office holding,Professions,Professions of obedience,,,,,,,,,,,
Benefice and office holding,Professions of obedience,Professions,of abbots; bishops,,,,,,,,,,
Benefice and office holding,Provisions,,"Provisions of expectative graces; expectative graces, in forma pauperum; expectative graces, revoked; also provisions in forma pauperum",,,,,,,,,,
Benefice and office holding,Residence,,For eg: commons for; enforced; for fixed term; required,,,,,,,,,,
Benefice and office holding,Resignations,Cession,,,,,,,,,,,
Benefice and office holding,Retirement,Cession,,,,,,,,,,,
Benefice and office holding,Returns,,,,,,,,,,,,
Benefice and office holding,Spiritualities,,"For eg: keeping of; keeping of, revoked; releases of",,,,,,,,,,
Benefice and office holding,Study,,"For periods, eg: for a specific time; at different places, eg: at studium generale; at studium generale in England; other, eg: return from required; special requirements; under 'cum ex eo'; see also Benefice and office holding, Absence; Non residence; Schools, Universities, Study, Teachers and Pupils",,,,,,,,,,
Benefice and office holding,Submissions,,For eg: to head of religious house,,,,,,,,,,
Benefice and office holding,Suspensions,,,,,,,,,,,,
Benefice and office holding,Temporalities,,Including restitutions of,,,,,,,,,,
Benefice and office holding,Titles,,,,,,,,,,,,
Benefice and office holding,Transfers,,,,,,,,,,,,
Benefice and office holding,Translations,,,,,,,,,,,,
Benefices,Appropriations,,,,,,,,,,,,
Benefices,Benefices,,"Incl burdens of, for eg: vicar's portions",,,,,,,,,,
Benefices,Endowments,,,,,,,,,,,,
Benefices,Ordinations,Ordinances,"Ordinations of chantries; chapels; churches; vicarages; also confirmations of, inquiries into",,,,,,,,,,
Benefices,Portions,,For eg: Rectory (moiety).,,,,,,,,,,
Benefices,Presentations,,"For eg: to rectories; masterships; disputed; requested; required; procedure for. See also Archives and Manuscripts for presentation deeds; Advowsons, patrons and patronage ",,,,,,,,,,
Benefices,Relaxations of Sequestrations,,,,,,,,,,,,
Benefices,Sequestrations,,"Sequestrations, for specific purposes, A-Z",,,,,,,,,,
Benefices,Unions,,of rectories with vicarages,,,,,,,,,,
Benefices,Vacancies,Vacancies of the See; Sede Vacante,For eg: inquisitions into; proceeds of; See also Archbishop's Administration,,,,,,,,,,
Books and Libraries,Annals,,,,,,,,,,,,
Books and Libraries,Antiphoners,,,,,,,,,,,,
Books and Libraries,Apocrypha,Bibles,,,,,,,,,,,
Books and Libraries,Bibles,Apocrypha; English Bibles; New Testament; Old Testament,"See also Old Testament, New Testament, Apocrypha",,,,,,,,,,
Books and Libraries,Book of Common Prayer,,,,,,,,,,,,
Books and Libraries,Book of Life,Liber Vitae,,,,,,,,,,,
Books and Libraries,Books,,"Books, by type, A-Z; Books, named, A-Z; for eg: Erasmus, Paraphrases on Gospels, in English",,,,,,,,,,
Books and Libraries,Books of sermons,Books of homilies,,,,,,,,,,,
Books and Libraries,Breviaries,,,,,,,,,,,,
Books and Libraries,English Bibles,Bibles,,,,,,,,,,,
Books and Libraries,Graduals,,,,,,,,,,,,
Books and Libraries,Lectionaries,Legends; Legendaries,,,,,,,,,,,
Books and Libraries,Libraries,,,,,,,,,,,,
Books and Libraries,Manuals,,for Office,,,,,,,,,,
Books and Libraries,Missals,,,,,,,,,,,,
Books and Libraries,New Testament,Bibles,,,,,,,,,,,
Books and Libraries,Old Testament,Bibles,,,,,,,,,,,
Books and Libraries,Ordinals,,,,,,,,,,,,
Books and Libraries,Primers,,,,,,,,,,,,
Books and Libraries,Psalters,,,,,,,,,,,,
Books and Libraries,Service books,,,,,,,,,,,,
Books and Libraries,Tropers,,,,,,,,,,,,
Building materials,Bricks,,"Building materials, types, A-Z",,,,,,,,,,
Building materials,Glass,,,,,,,,,,,,
Building materials,Tiles,,,,,,,,,,,,
Buildings and structures,Archbishops' Palaces,Palaces,,,,,,,,,,,
Buildings and structures,Atria,,"Use for fabric of Churches and Religious houses as well as lay buildings; see also Accidents and disasters, Collapses; For cemeteries, churchyards and chapelyards, see Churches, chantries and chapels",,,,,,,,,,
Buildings and structures,Bakery,,,,,,,,,,,,
Buildings and structures,Belfries,,,,,,,,,,,,
Buildings and structures,Bishops' Palaces,Palaces,,,,,,,,,,,
Buildings and structures,Brewhouse,,,,,,,,,,,,
Buildings and structures,Bridges,,"See also Transport and Travel, Roads, etc.",,,,,,,,,,
Buildings and structures,Buildings,,"Buildings, types, A-Z",,,,,,,,,,
Buildings and structures,Cells,,parish,,,,,,,,,,
Buildings and structures,Chancels,,See also Repairs,,,,,,,,,,
Buildings and structures,Choirs,,part of church,,,,,,,,,,
Buildings and structures,Cloisters,,,,,,,,,,,,
Buildings and structures,Dilapidations,,"Dilapidations, of types of property, named, A-Z",,,,,,,,,,
Buildings and structures,Dorters,,,,,,,,,,,,
Buildings and structures,Dovecot,,,,,,,,,,,,
Buildings and structures,Fraters,,,,,,,,,,,,
Buildings and structures,Galilees,,,,,,,,,,,,
Buildings and structures,Houses,Parish Houses; Rectory Houses; Vicarage Houses,,,,,,,,,,,
Buildings and structures,Lodgings,,,,,,,,,,,,
Buildings and structures,Maintenance,,of buildings,,,,,,,,,,
Buildings and structures,Malt kilns,,,,,,,,,,,,
Buildings and structures,Manses,,,,,,,,,,,,
Buildings and structures,Mills,,,,,,,,,,,,
Buildings and structures,Naves,,,,,,,,,,,,
Buildings and structures,Palaces,Archbishops' Palaces; Bishops' Palaces; Royal Palaces,,,,,,,,,,,
Buildings and structures,Parish Houses,Houses,,,,,,,,,,,
Buildings and structures,Rebuilding,,,,,,,,,,,,
Buildings and structures,Rectory Houses,Houses,,,,,,,,,,,
Buildings and structures,Refectories,,,,,,,,,,,,
Buildings and structures,Repairs,,,,,,,,,,,,
Buildings and structures,Royal Palaces,Palaces,,,,,,,,,,,
Buildings and structures,Scriptoria,,,,,,,,,,,,
Buildings and structures,Shrines,,"See also Church Furniture and ornaments for relics, etc",,,,,,,,,,
Buildings and structures,Steeples,,,,,,,,,,,,
Buildings and structures,Surveys,,,,,,,,,,,,
Buildings and structures,Vestries,,,,,,,,,,,,
Buildings and structures,Vicarage Houses,Houses,,,,,,,,,,,
Buildings and structures,Wayside Shrines,,,,,,,,,,,,
Buildings and structures,Windmills,,,,,,,,,,,,
Buildings and structures,Woolsheds,,,,,,,,,,,,
Calendar and Church Year,Advent,,Church calendar and festivals,,,,,,,,,,
Calendar and Church Year,Christmas,,,,,,,,,,,,
Calendar and Church Year,Corpus Christi,,,,,,,,,,,,
Calendar and Church Year,Easter,,,,,,,,,,,,
Calendar and Church Year,Ember days,,,,,,,,,,,,
Calendar and Church Year,Ember weeks,,,,,,,,,,,,
Calendar and Church Year,Epiphany,,,,,,,,,,,,
Calendar and Church Year,Feast Days,,,,,,,,,,,,
Calendar and Church Year,Holy Week,,,,,,,,,,,,
Calendar and Church Year,Lent,Quadragesima,,,,,,,,,,,
Calendar and Church Year,Passiontide,,,,,,,,,,,,
Calendar and Church Year,Pentecost,Whitsun,"NB Whitsuntide, the week following Whitsunday",,,,,,,,,,
Calendar and Church Year,Quinquagesima,,,,,,,,,,,,
Calendar and Church Year,Rogationtide,,,,,,,,,,,,
Calendar and Church Year,Septuagesima,Shrovetide,,,,,,,,,,,
Calendar and Church Year,Sexagesima,,,,,,,,,,,,
Calendar and Church Year,Sundays,,,,,,,,,,,,
Cathedrals and Minsters,Chapters,,,,,,,,,,,,
Cathedrals and Minsters,Closes,,,,,,,,,,,,
Cathedrals and Minsters,Common funds,,,,,,,,,,,,
Cathedrals and Minsters,Common halls,,"Including, of vicars",,,,,,,,,,
Cathedrals and Minsters,Fabric funds,,,,,,,,,,,,
Church Furniture and Ornaments,Alms Chests,,,,,,,,,,,,
Church Furniture and Ornaments,Altar cloths,,,,,,,,,,,,
Church Furniture and Ornaments,Altar hangings,,,,,,,,,,,,
Church Furniture and Ornaments,Altars,,,,,,,,,,,,
Church Furniture and Ornaments,Ampullae,,,,,,,,,,,,
Church Furniture and Ornaments,Armarium,Aumbry,,,,,,,,,,,
Church Furniture and Ornaments,Banners,,,,,,,,,,,,
Church Furniture and Ornaments,Basins,,,,,,,,,,,,
Church Furniture and Ornaments,Bells,Handbells; Sanctus bells,in belfries,,,,,,,,,,
Church Furniture and Ornaments,Benches,,,,,,,,,,,,
Church Furniture and Ornaments,Biers,,,,,,,,,,,,
Church Furniture and Ornaments,Candles,,See also Lights,,,,,,,,,,
Church Furniture and Ornaments,Candlesticks,,,,,,,,,,,,
Church Furniture and Ornaments,Cathedra,Bishop's Throne; Throne,,,,,,,,,,,
Church Furniture and Ornaments,Censers,,,,,,,,,,,,
Church Furniture and Ornaments,Chairs,,,,,,,,,,,,
Church Furniture and Ornaments,Chalices,Communion cups,for wine,,,,,,,,,,
Church Furniture and Ornaments,Chests,,,,,,,,,,,,
